artifact_id,month,date_or_period,source_bucket,artifact_group,artifact_type,anonymized_project,domain,specific_topic,artifact_status,sensitivity_level,safe_public_summary,cwi_relevance,recommended_public_handling
A016,February,2023-02-02,2023년 2월,domain references,docx,General,trade/import accounting,FOB/CIF/CRF and import accounting notes,self_study_reference,low_sanitized,Trade and accounting notes were used for vocabulary/context.,Domain switching and self-onboarding.,Summarize.
A017,February,2023-02-10,2023년 2월,manufacturing training,docx/mp4/pptx,General/Client U,BOM/WO/Routing,"Production BOM, Work Order, Routing training materials",training_and_practice,internal_summary,Manufacturing concepts and practice were compressed.,Video-based and concept-practice compression.,Use module summary.
A018,February,2023-02-13 to 2023-02-17,2023년 2월,D&D training,pdf/csv/docx/pptx,General,delivery methodology/import/O2C/P2P,SuiteLife D&D training materials,formal_training,training_reference,Formal delivery training mixed with live project work.,Formal training without internal scaffold.,Do not upload raw; summarize learning topics.
A019,February,2023-02-16 to 2023-02-21,2023년 2월,alignment deck,pptx,General,O2C/alignment,Alignment presentation and O2C deck,deliverable,internal_summary,Presentation deliverable appeared during early onboarding.,Early role escalation to presenter/delivery support.,Use anonymized summary.
A020,February,2023-02-17,2023년 2월,translation,docx,General,payment/help documentation,Electronic bank payment help translation,task_artifact,low_sanitized,Technical translation overlapped with ERP learning.,Language workload overlap.,Use generalized description.
A021,March,2023-03,회의 요약 2,delivery/workflow expansion,docx/pptx/xlsx,Mixed clients,workflow/return/intercompany/MRP,"Delivery deepening, approval workflow, return process, intercompany, MRP",live_project_artifact,internal_summary,"March expanded into delivery, workflow, return and manufacturing planning.",Domain expansion after compressed enablement.,Summarize monthly.
A022,April,2023-04,회의 요약 2/3,sales upload,pptx/xlsx/docx,Client N,sales order upload,US Sales Order upload materials and manual drafting,deliverable,internal_summary,Sales order upload and manualization work became active.,From learner to manual author/data operator.,Use anonymized manual summary.
A023,May,2023-05,회의 요약 3,data reconciliation,xlsx/docx/txt,Client N,multi-system sales/return reconciliation,"NetSuite, external platform and return comparison files",implementation_artifact,medium_internal,Multi-system order/return comparison and error lists appeared.,Data reconciliation burden and operational exception analysis.,Use synthetic comparison tables.
A024,June,2023-06,회의 요약 4/생산 업무,manufacturing,pptx/mp4/xlsx,Client U/E,outsourced manufacturing/phantom/costing,"Outsourced Manufacturing, Phantom, costing and manufacturing routing files",implementation_artifact,internal_summary,Manufacturing ERP topics deepened into outsourced process design and costing.,Advanced manufacturing master data and process design.,Use reconstructed summary.
A025,July,2023-07,회의 요약 4,factory meeting,docx/jpeg/txt/xlsx,Client G,factory production/P2P,Factory production and purchase meeting notes,live_project_artifact,internal_summary,Factory production/purchasing process interviews appeared.,Field process analysis and To-Be workflow mapping.,Use anonymized workflow map.
A026,August,2023-08,회의 요약 4,production data bundle,xlsx/csv/docx,Client G,production line/costing/upload,"Line-level production files, item upload, costing logic, BOM/Routing templates",implementation_artifact,internal_summary,Real production line data and ERP upload/costing artifacts appeared.,Factory data to ERP artifact conversion.,Use synthetic production artifacts.
A027,September,2023-09,회의 요약 4/생산 업무 3,production report/data quality,xlsx,Client G,production report/material gaps,Production report forms and missing raw material lists,implementation_artifact,internal_summary,Production reporting and raw material gap artifacts appeared.,Data quality and master data completeness issue.,Use synthetic missing-material examples.
