event_date,phase_month,activity_type,domain,artifact_category,artifact_label_anonymized,role_mode,learning_stage,complexity_level,onboarding_risk_tags,evidence_summary,cwi_signal,confidentiality_level,data_origin
2023-01-02,January,meeting_summary,e-commerce integration,meeting/pdf,Client N e-commerce integration meeting,observer_note_taker,early exposure,high,live_project_exposure;domain_overload;role_ambiguity,Early exposure to client-specific e-commerce integration and marketplace/3PL context.,Live project artifacts appeared before a staged ERP basics roadmap.,sanitized_summary,reconstructed_anonymized_summary
2023-01-25,January,manufacturing_artifact,Item/BOM/outsourced manufacturing,docx/xlsx/mp4,Client U production and inventory shared materials,learner_analyst,advanced project exposure,very_high,master_data_overload;video_compression,"Item, BOM, BOM revision, outsourced work order, costing method, and financial consistency appeared together.","Master data, production workflow, and accounting impact were compressed into one learning context.",sanitized_summary,reconstructed_anonymized_summary
2023-01-26,January,meeting_summary,manufacturing/finance/intercompany,docx,Client E manufacturing and finance meeting summaries,note_taker_observer,advanced project exposure,very_high,role_ambiguity;intercompany_overload,"AP, fixed assets, lot/serial, work order, WIP, intercompany and Korean subsidiary issues appeared together.",Manufacturing ERP became coupled with corporate finance and legal-entity process complexity.,sanitized_summary,reconstructed_anonymized_summary
2023-01-27,January,proposal_and_troubleshooting,manufacturing/troubleshooting,docx/pptx,Client E proposal and troubleshooting note,learner_analyst,advanced project exposure,very_high,troubleshooting_before_scaffold;live_delivery,The note emphasized figuring out why a client case did not work and reviewing proposal scope.,The learner was exposed to unresolved troubleshooting rather than only guided practice.,sanitized_summary,reconstructed_anonymized_summary
2023-01-31,February,translation_reference,customer case/translation,docx,ERP customer case subtitle translation,translator_self_learner,parallel enablement,medium,language_workload_overlap;role_mixing,Translation work appeared in the same period as ERP learning and live project exposure.,Language service work overlapped with technical onboarding.,sanitized_summary,reconstructed_anonymized_summary
2023-02-02,February,domain_reference,import accounting/trade,docx,FOB/CIF/CRF and import accounting notes,self_learner,parallel enablement,medium,domain_switching;knowledge_fragmentation,Trade and accounting concepts were added to ERP onboarding.,ERP learning expanded into import-cost and accounting vocabulary.,sanitized_summary,reconstructed_anonymized_summary
2023-02-06,February,client_project_document,manufacturing/inventory,docx,Client U production and inventory improvement document,learner_analyst,parallel enablement,very_high,manufacturing_overload;master_data_overload,"Item, BOM, outsourced work order and costing topics were revised and reused.",Customer manufacturing artifact became a learning source.,sanitized_summary,reconstructed_anonymized_summary
2023-02-10,February,training_note,BOM/WO/Routing,docx/mp4/pptx,"BOM, Work Order, Routing training",learner_practitioner,parallel enablement,high,compressed_training;concept_practice_merge,"BOM, Work Order, Routing and production process concepts were taught together.",Conceptual training and implementation practice were compressed.,sanitized_summary,reconstructed_anonymized_summary
2023-02-13,February,formal_training,D&D delivery training,pdf/csv/mp4/pptx,D&D education day 1 and manufacturing training bundle,formal_trainee,compressed enablement,high,formal_training_overload;artifact_fragmentation,Formal delivery training appeared with manufacturing education and client project artifacts.,Formal training was added but not isolated from live project work.,sanitized_summary,reconstructed_anonymized_summary
2023-02-14,February,formal_training,D&D delivery training,pdf/docx/pptx,D&D education day 2 materials,formal_trainee,compressed enablement,high,formal_training_overload;internal_process_gap,Deployment guide and Sales-to-CS/PS KT materials appeared.,Vendor methodology did not automatically define internal onboarding steps.,sanitized_summary,reconstructed_anonymized_summary
2023-02-15,February,formal_training,data import,pdf/csv/xlsx,"Customer, Item, and Trial Balance import exercises",formal_trainee_data_practitioner,compressed enablement,high,data_migration_overload;task_escalation,"Customer import, Item import, and Trial Balance import exercises were included.",Data migration tasks entered before role boundaries were settled.,sanitized_summary,reconstructed_anonymized_summary
2023-02-16,February,presentation_assignment,alignment/O2C,pptx,Alignment presentation deck,presenter_learner,compressed enablement,high,early_presentation_pressure;role_escalation,Alignment presentation work appeared during early ERP training.,The learner shifted from absorbing concepts to producing delivery artifacts.,sanitized_summary,reconstructed_anonymized_summary
2023-02-17,February,translation_assignment,electronic bank payment,help_translation,Payment help documentation translation,translator_learner,compressed enablement,medium,language_workload_overlap;domain_switching,Technical help translation overlapped with formal delivery training.,Translation and ERP knowledge work shared the same cognitive window.,sanitized_summary,reconstructed_anonymized_summary
2023-02-21,February,presentation_assignment,O2C,pptx,O2C version alignment deck,presenter_practitioner,compressed enablement,high,role_escalation;feedback_loop_needed,O2C presentation material was prepared during early onboarding.,Presentation work signaled shift from training to delivery participation.,sanitized_summary,reconstructed_anonymized_summary
2023-02-22,February,self_study,BOM/Uvify,xlsx/docx,"BOM template, BOM inquiry, and To-Do notes",self_learner_analyst,compressed enablement,very_high,self_onboarding_burden;manufacturing_overload,"BOM, BOM inquiry, To-Do and production/inventory improvement documents were used for self-study.",The learner created structure from multiple manufacturing artifacts.,sanitized_summary,reconstructed_anonymized_summary
2023-02-24,February,screen_share_practice,WO Build/inventory,mp4,NetSuite screen-sharing practice video,learner_practitioner,compressed enablement,very_high,video_compression;transaction_masterdata_merge,"Video showed inventory adjustment, WO build, BOM components and stock ledger concepts.","Long screen-sharing sessions compressed concept, practice, and transaction verification.",sanitized_summary,reconstructed_anonymized_summary
2023-03-20,March,training_note,BIN/Stock Transfer/Lot Serial,docx/xlsx,"BIN, Stock Transfer, Lot/Serial materials",learner_analyst,delivery expansion,very_high,inventory_complexity;manufacturing_finance_coupling,"BIN, stock transfer, Lot/Serial, WIP, MRP and financial checks appeared.",Inventory execution and financial impact were connected early.,sanitized_summary,reconstructed_anonymized_summary
2023-03-27,March,analysis_deck,Intercompany/MRP,pptx,Intercompany manufacturing and MRP result analysis,analyst,delivery expansion,very_high,intercompany_overload;mrp_complexity,"US/Korea subsidiary flows, intercompany transactions and MRP exceptions appeared.",ERP learning expanded into legal-entity and planning logic.,sanitized_summary,reconstructed_anonymized_summary
2023-03-28,March,point_lesson,consulting workflow,docx,Point lesson and meeting summaries,learner_note_taker,delivery expansion,medium,feedback_trace;role_clarification_needed,Point lesson existed but broader feedback structure remained unclear.,Feedback existed as events but needed systematic tracking.,sanitized_summary,reconstructed_anonymized_summary
2023-04-13,April,sales_deck,sales order upload,pptx/xlsx,Client N sales order upload materials,data_practitioner,delivery work,high,task_escalation;data_import_burden,Sales upload decks and templates were handled.,The learner shifted toward operational upload work.,sanitized_summary,reconstructed_anonymized_summary
2023-04-18,April,sales_deck,sales upload/integration,pptx/xlsx,Updated sales order deck and upload files,data_practitioner,delivery work,high,multi_system_complexity;manualization_pressure,Channel-specific order upload and integration materials appeared.,Data import became linked to workflow documentation.,sanitized_summary,reconstructed_anonymized_summary
2023-05-02,May,error_list,Amazon FBM/sales order,docx/txt/xlsx,Amazon FBM error PO list and upload files,data_checker,delivery work,high,data_reconciliation;exception_handling,Error PO lists and sales upload templates were used.,Operational exceptions became learning and work artifacts.,sanitized_summary,reconstructed_anonymized_summary
2023-05-03,May,return_and_shipping,return/shipping,xlsx/docx,Returns USA and shipping mapping files,data_checker_learner,delivery work,high,return_process_complexity;system_mapping,Return and shipping mapping documents appeared.,Reverse logistics and shipping data became part of onboarding workload.,sanitized_summary,reconstructed_anonymized_summary
2023-05-05,May,manual_output,sales order upload,docx/pptx/xlsx,US Sales Order Uploading Manual final draft,manual_author,delivery work,high,deliverable_pressure;knowledge_externalization,Sales order uploading manual with author attribution appeared.,The new employee produced workflow documentation output.,sanitized_summary,reconstructed_anonymized_summary
2023-05-10,May,data_reconciliation,NetSuite/Armlogi,xlsx/txt,NetSuite and Armlogi comparison files,data_analyst,delivery work,very_high,data_quality_burden;reconciliation_overload,NetSuite and logistics platform data were compared for mismatches.,Multi-system reconciliation became a core work event.,sanitized_summary,reconstructed_anonymized_summary
2023-05-16,May,data_reconciliation,NetSuite/Eccang,xlsx,NetSuite and Eccang SO comparison,data_analyst,delivery work,very_high,data_quality_burden;multi_system_complexity,Sales orders were compared between ERP and external order system.,Data consistency work exceeded basic onboarding tasks.,sanitized_summary,reconstructed_anonymized_summary
2023-06-19,June,manufacturing_deck,outsourced manufacturing/phantom,pptx/mp4,Outsourced Manufacturing and Phantom review,analyst_learner,manufacturing delivery,very_high,outsourcing_complexity;phantom_design,Outsourced manufacturing and phantom BOM decision materials appeared.,Production process design moved into advanced manufacturing settings.,sanitized_summary,reconstructed_anonymized_summary
2023-07-06,July,proposal_process,Ohora/To-Be process,xlsx/pptx/pdf,"Process list, To-Be template, proposal and contact list",analyst_observer,factory workflow,high,customer_context_switch;process_design,Factory process materials and proposal references appeared.,ERP onboarding became factory workflow analysis.,sanitized_summary,reconstructed_anonymized_summary
2023-07-19,July,factory_meeting,production/P2P,docx/jpeg/txt,Factory production and purchase meeting notes,meeting_observer_analyst,factory workflow,very_high,field_process_analysis;production_p2p_coupling,Production and purchasing meeting notes from factory context appeared.,Real factory workflow interviews became ERP learning events.,sanitized_summary,reconstructed_anonymized_summary
2023-07-27,July,bom_data_work,BOM data,xlsx,Client G BOM data filled sheet,data_preparer,factory workflow,very_high,master_data_work;implementation_deliverable,BOM data completion work appeared.,The learner became involved in manufacturing data preparation.,sanitized_summary,reconstructed_anonymized_summary
2023-08-02,August,factory_artifact_bundle,production lines/costing,xlsx/docx/csv,Production-line Excel files and manufacturing templates,data_preparer_analyst,implementation artifacts,very_high,artifact_fragmentation;factory_data_overload,"Production line files, item upload data, costing logic, BOM and routing templates appeared.",Factory artifacts became ERP upload and costing materials.,sanitized_summary,reconstructed_anonymized_summary
2023-08-03,August,upload_test,BOM/Routing/WO costing,csv/xlsx,Manufacturing upload test and WO costing files,data_preparer_tester,implementation artifacts,very_high,upload_test_burden;costing_complexity,"BOM CSV, Routing upload CSV and WO costing files appeared.",ERP upload testing and costing analysis entered the workstream.,sanitized_summary,reconstructed_anonymized_summary
2023-09-01,August/September,production_report,production reporting/material gaps,xlsx,Production report form and missing raw material lists,data_quality_analyst,implementation artifacts,very_high,data_quality_burden;reporting_structure,Production report formats and raw material missing lists appeared.,Manufacturing data quality became a structured workflow issue.,sanitized_summary,reconstructed_anonymized_summary
